Group,Skill,Individual,ORCID,Affiliation
Drug Development Group,Investigational new drug (IND) submission,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
Drug Development Group,Clinical study design,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
Drug Development Group,Medical writing,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
Communication and Project Management Group,Project management,Keiko Ueda,https://orcid.org/0009-0009-5112-8972,The European Clinical Research Infrastructure Network (ECRIN)
Drug Development Group,Pre-clinical pharmacology,Tero Aittokallio,https://orcid.org/0000-0002-0886-9769,University of Helsinki (FIMM-UH)
Drug Development Group,Analytical Techniques,Tero Aittokallio,https://orcid.org/0000-0002-0886-9769,University of Helsinki (FIMM-UH)
Drug Development Group,Data management,Tero Aittokallio,https://orcid.org/0000-0002-0886-9769,University of Helsinki (FIMM-UH)
Communication and Project Management Group,Project communication and dissemination,Tero Aittokallio,https://orcid.org/0000-0002-0886-9769,University of Helsinki (FIMM-UH)
Drug Discovery Group,Target identification,Tero Aittokallio,https://orcid.org/0000-0002-0886-9769,University of Helsinki (FIMM-UH)
Drug Discovery Group,High-throughput screening (HTS),Tero Aittokallio,https://orcid.org/0000-0002-0886-9769,University of Helsinki (FIMM-UH)
Drug Discovery Group,Drug combinations,Tero Aittokallio,https://orcid.org/0000-0002-0886-9769,University of Helsinki (FIMM-UH)
Drug Development Group,Evidence synthesis,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Drug Development Group,Health technology assessment,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Drug Development Group,Health Economics,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Drug Development Group,Market access,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Drug Development Group,Clinical study design,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Drug Development Group,Medical writing,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Communication and Project Management Group,Project communication and dissemination,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Communication and Project Management Group,Project management,Zsuzsanna Petykó, https://orcid.org/0000-0002-9101-2546,Syreon Research Institute
Drug Development Group,Data management,Swapnil Potdar,https://orcid.org/0000-0002-2778-6918,University of Helsinki (FIMM-UH)
Drug Discovery Group,High-throughput screening (HTS),Swapnil Potdar,https://orcid.org/0000-0002-2778-6918,University of Helsinki (FIMM-UH)
Drug Development Group,Marketing authorization application (MAA),Peggy Beinlich,,Bfarm
Communication and Project Management Group,Project management,Peggy Beinlich,,Bfarm
Drug Development Group,Pre-clinical pharmacology,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Development Group,Phase 1 trials,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Development Group,Patient related documentation creation,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Development Group,Adaptive trial design,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Development Group,Medical writing,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Communication and Project Management Group,Project communication and dissemination,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Communication and Project Management Group,Project management,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Discovery Group,Drug delivery,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Discovery Group,Target identification,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Discovery Group,Biological discovery,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Discovery Group,Mechanism of action (MoA),Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Discovery Group,Target validation,Claudia Fuchs,https://orcid.org/0009-0009-4788-9066,EURORDIS-Plateforme Maladies Rares
Drug Development Group,Evidence synthesis,Marcell Csanádi, https://orcid.org/0000-0002-5724-639X,Syreon Research Institute
Drug Development Group,Health technology assessment,Marcell Csanádi, https://orcid.org/0000-0002-5724-639X,Syreon Research Institute
Drug Development Group,Health Economics,Marcell Csanádi, https://orcid.org/0000-0002-5724-639X,Syreon Research Institute
Drug Development Group,Market access,Marcell Csanádi, https://orcid.org/0000-0002-5724-639X,Syreon Research Institute
Communication and Project Management Group,Project communication and dissemination,Marcell Csanádi, https://orcid.org/0000-0002-5724-639X,Syreon Research Institute
Drug Development Group,Market access,Anne Heß,,Bfarm
Drug Development Group,Pre-clinical pharmacology,Jeanette Reinshagen,https://orcid.org/0000-0002-8080-9170,Fraunhofer-Gesellschaft
Communication and Project Management Group,Project communication and dissemination,Jeanette Reinshagen,https://orcid.org/0000-0002-8080-9170,Fraunhofer-Gesellschaft
Drug Discovery Group,High-throughput screening (HTS),Jeanette Reinshagen,https://orcid.org/0000-0002-8080-9170,Fraunhofer-Gesellschaft
Drug Discovery Group,Hit confirmation | hit validation,Jeanette Reinshagen,https://orcid.org/0000-0002-8080-9170,Fraunhofer-Gesellschaft
Drug Development Group,Evidence synthesis,András Inotai, https://orcid.org/0000-0002-0663-2733,Syreon Research Institute
Drug Development Group,Health technology assessment,András Inotai, https://orcid.org/0000-0002-0663-2733,Syreon Research Institute
Drug Development Group,Health Economics,András Inotai, https://orcid.org/0000-0002-0663-2733,Syreon Research Institute
Drug Development Group,Market access,András Inotai, https://orcid.org/0000-0002-0663-2733,Syreon Research Institute
Communication and Project Management Group,Project management,András Inotai, https://orcid.org/0000-0002-0663-2733,Syreon Research Institute
Drug Development Group,Evidence synthesis,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Phase 3 trials,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Health technology assessment,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Market access,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Clinical statistics,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Phase 4 trials and Pharmacovigilance,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Clinical study design,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Medical writing,Heleen van der Meer, https://orcid.org/0000-0002-3329-3271,ZonMw
Drug Development Group,Evidence synthesis,Dalma Hosszú,https://orcid.org/0009-0004-5835-2516,Syreon Research Institute
Drug Development Group,Health technology assessment,Dalma Hosszú,https://orcid.org/0009-0004-5835-2516,Syreon Research Institute
Drug Development Group,Health Economics,Dalma Hosszú,https://orcid.org/0009-0004-5835-2516,Syreon Research Institute
Drug Development Group,Market access,Dalma Hosszú,https://orcid.org/0009-0004-5835-2516,Syreon Research Institute
Communication and Project Management Group,Project communication and dissemination,Dalma Hosszú,https://orcid.org/0009-0004-5835-2516,Syreon Research Institute
Communication and Project Management Group,Project management,Dalma Hosszú,https://orcid.org/0009-0004-5835-2516,Syreon Research Institute
Communication and Project Management Group,Project management,Jani Saarela, https://orcid.org/0000-0001-7306-7175,University of Helsinki (FIMM-UH)
Drug Discovery Group,High-throughput screening (HTS),Jani Saarela, https://orcid.org/0000-0001-7306-7175,University of Helsinki (FIMM-UH)
Drug Discovery Group,Drug combinations,Jani Saarela, https://orcid.org/0000-0001-7306-7175,University of Helsinki (FIMM-UH)
Drug Development Group,Evidence synthesis,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Phase 3 trials,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Health technology assessment,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Health Economics,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Market access,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Phase 4 trials and Pharmacovigilance,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Clinical study design,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Medical writing,Zoltán Kaló, https://orcid.org/0000-0001-7762-2607,Syreon Research Institute
Drug Development Group,Pre-clinical pharmacology,Marianna Tampere, https://orcid.org/0000-0001-5744-3206,Karolinska Institutet
Communication and Project Management Group,Project communication and dissemination,Marianna Tampere, https://orcid.org/0000-0001-5744-3206,Karolinska Institutet
Communication and Project Management Group,Project management,Marianna Tampere, https://orcid.org/0000-0001-5744-3206,Karolinska Institutet
Drug Discovery Group,High-throughput screening (HTS),Marianna Tampere, https://orcid.org/0000-0001-5744-3206,Karolinska Institutet
Drug Discovery Group,Mechanism of action (MoA),Marianna Tampere, https://orcid.org/0000-0001-5744-3206,Karolinska Institutet
Drug Discovery Group,Hit confirmation | hit validation,Marianna Tampere, https://orcid.org/0000-0001-5744-3206,Karolinska Institutet
Drug Development Group,Pre-clinical pharmacology,Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Development Group,Clinical study design,Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Communication and Project Management Group,Project communication and dissemination,Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Discovery Group,Biological discovery,Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Discovery Group,High-throughput screening (HTS),Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Discovery Group,Mechanism of action (MoA),Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Discovery Group,Drug combinations,Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Discovery Group,In-vivo efficacy evaluation,Francesca Bruzzese,https://orcid.org/0000-0001-7741-9086,Istituto Nazionale Tumori
Drug Development Group,Pre-clinical pharmacology,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 3 trials,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 2 trials,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Marketing authorization application (MAA),Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 1 trials,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Investigational new drug (IND) submission,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Phase 4 trials and Pharmacovigilance,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project communication and dissemination,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Ethics and ELSI,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project management,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Communication and Project Management Group,Legal expertise,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Target identification,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,In-vivo modelling,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit confirmation | hit validation,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Discovery Group,Target validation,Carmine Talarico,https://orcid.org/0000-0003-4789-0955,Dompe Farmaceutici-SpA
Drug Development Group,Pre-clinical pharmacology,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 3 trials,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Active pharmaceutical ingredient (API) manufacturing,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 2 trials,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Marketing authorization application (MAA),Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 1 trials,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Investigational new drug (IND) submission,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Development Group,Phase 4 trials and Pharmacovigilance,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project management,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Communication and Project Management Group,Legal expertise,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Medicinal chemistry,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Natural products,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Mechanism of action (MoA),Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit confirmation | hit validation,Andrea Beccari,https://orcid.org/0000-0001-6830-2695,Dompe Farmaceutici-SpA
Communication and Project Management Group,Project management,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Medicinal chemistry,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Pharmacokinetics (PK),Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,High-throughput screening (HTS),Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,In-vitro toxicity testing - Ames,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Hit confirmation | hit validation,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Pro-drugs,Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),Davide Graziani, https://orcid.org/0000-0003-1826-5392,Dompe Farmaceutici-SpA
Drug Development Group,Data management,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Communication and Project Management Group,Project management,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Discovery Group,Medicinal chemistry,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
Drug Discovery Group,Target identification,Jordi Quintana, https://orcid.org/0000-0002-7059-7418,Chemotargets
