name,skill_name,Individuals
Anne Heß,Market access,6
András Inotai,Market access,6
Drug Development Group,Market access,7
Dalma Hosszú,Market access,6
Marcell Csanádi,Market access,6
Zsuzsanna Petykó,Market access,6
Drug Development Group,Phase 4 trials and Pharmacovigilance,5
Saco de Visser,Phase 4 trials and Pharmacovigilance,4
Heleen van der Meer,Phase 4 trials and Pharmacovigilance,4
Andrea Beccari,Phase 4 trials and Pharmacovigilance,4
Zoltán Kaló,Phase 4 trials and Pharmacovigilance,4
Carmine Talarico,Phase 4 trials and Pharmacovigilance,4
Andrea Zaliani,Active pharmaceutical ingredient (API) manufacturing,3
Martin de Kort,Active pharmaceutical ingredient (API) manufacturing,3
Alicia Soler Cantón,Active pharmaceutical ingredient (API) manufacturing,3
Drug Development Group,Active pharmaceutical ingredient (API) manufacturing,4
Andrea Beccari,Active pharmaceutical ingredient (API) manufacturing,3
Drug Discovery Group,In-vivo modelling,3
Sarai Rodríguez Navarro,In-vivo modelling,2
Martin de Kort,In-vivo modelling,2
Carmine Talarico,In-vivo modelling,2
Andrea Beccari,Phase 2 trials,5
Carmine Talarico,Phase 2 trials,5
Saco de Visser,Phase 2 trials,5
Martin de Kort,Phase 2 trials,5
Drug Development Group,Phase 2 trials,6
Keiko Ueda,Phase 2 trials,5
Alessandra Leone,Phase 2 trials,5
Tero Aittokallio,Data management,6
Swapnil Potdar,Data management,6
Drug Development Group,Data management,7
Martin Hofmann-Apitius,Data management,6
Philip Gribbon,Data management,6
Andrea Zaliani,Data management,6
Jordi Quintana,Data management,6
Marc Jacobs,Data management,6
Davide Graziani,Hit-to-lead (HTL) | lead generation,9
Aimo Kannt,Hit-to-lead (HTL) | lead generation,9
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,10
Jordi Quintana,Hit-to-lead (HTL) | lead generation,9
Martin de Kort,Hit-to-lead (HTL) | lead generation,9
Annika Jensen,Hit-to-lead (HTL) | lead generation,9
Philip Gribbon,Hit-to-lead (HTL) | lead generation,9
Carmine Talarico,Hit-to-lead (HTL) | lead generation,9
Andrea Beccari,Hit-to-lead (HTL) | lead generation,9
Andrea Zaliani,Hit-to-lead (HTL) | lead generation,9
Flavio Ballante,Hit-to-lead (HTL) | lead generation,9
Andrea Zaliani,Pre-clinical pharmacology,11
Brinton Seashore-Ludlow,Pre-clinical pharmacology,11
Martin de Kort,Pre-clinical pharmacology,11
Andrea Beccari,Pre-clinical pharmacology,11
Claudia Fuchs,Pre-clinical pharmacology,11
Marianna Tampere,Pre-clinical pharmacology,11
Francesca Bruzzese,Pre-clinical pharmacology,11
Carmine Talarico,Pre-clinical pharmacology,11
Maddalena Fratelli,Pre-clinical pharmacology,11
Jeanette Reinshagen,Pre-clinical pharmacology,11
Drug Development Group,Pre-clinical pharmacology,12
Aimo Kannt,Pre-clinical pharmacology,11
Tero Aittokallio,Pre-clinical pharmacology,11
Aimo Kannt,Pharmacokinetics (PK),7
Drug Discovery Group,Pharmacokinetics (PK),8
Saco de Visser,Pharmacokinetics (PK),7
Andrea Zaliani,Pharmacokinetics (PK),7
Ziaurrehman Tanoli,Pharmacokinetics (PK),7
Igor Locatelli,Pharmacokinetics (PK),7
Maddalena Fratelli,Pharmacokinetics (PK),7
Davide Graziani,Pharmacokinetics (PK),7
Martin de Kort,Pharmacokinetics (PK),7
Zsuzsanna Petykó,Clinical study design,8
Keiko Ueda,Clinical study design,8
Francesca Bruzzese,Clinical study design,8
Zoltán Kaló,Clinical study design,8
Martin de Kort,Clinical study design,8
Heleen van der Meer,Clinical study design,8
Aimo Kannt,Clinical study design,8
Drug Development Group,Clinical study design,9
Saco de Visser,Clinical study design,8
Alessandra Leone,Clinical study design,8
Drug Discovery Group,Hit confirmation | hit validation,13
Brinton Seashore-Ludlow,Hit confirmation | hit validation,12
Davide Graziani,Hit confirmation | hit validation,12
Carmine Talarico,Hit confirmation | hit validation,12
Jordi Carreras-Puigvert,Hit confirmation | hit validation,12
Philip Gribbon,Hit confirmation | hit validation,12
Annika Jensen,Hit confirmation | hit validation,12
Jordi Quintana,Hit confirmation | hit validation,12
Aimo Kannt,Hit confirmation | hit validation,12
Marianna Tampere,Hit confirmation | hit validation,12
Andrea Beccari,Hit confirmation | hit validation,12
Johanna Huchting,Hit confirmation | hit validation,12
Jeanette Reinshagen,Hit confirmation | hit validation,12
Andrea Zaliani,Hit confirmation | hit validation,12
Tero Aittokallio,Drug combinations,8
Drug Discovery Group,Drug combinations,9
Brinton Seashore-Ludlow,Drug combinations,8
Martin de Kort,Drug combinations,8
Alessandra Leone,Drug combinations,8
Jani Saarela,Drug combinations,8
Jordi Carreras-Puigvert,Drug combinations,8
Andrea Zaliani,Drug combinations,8
Francesca Bruzzese,Drug combinations,8
Maddalena Fratelli,Drug combinations,8
Alicia Soler Cantón,Analytical Techniques,2
Drug Development Group,Analytical Techniques,3
Tero Aittokallio,Analytical Techniques,2
Maddalena Fratelli,Analytical Techniques,2
Marcell Csanádi,Health technology assessment,6
Drug Development Group,Health technology assessment,7
Maddalena Fratelli,Health technology assessment,6
András Inotai,Health technology assessment,6
Zsuzsanna Petykó,Health technology assessment,6
Dalma Hosszú,Health technology assessment,6
Heleen van der Meer,Health technology assessment,6
Zoltán Kaló,Health technology assessment,6
Rok Dreu,Drug delivery,3
Martin de Kort,Drug delivery,3
Drug Discovery Group,Drug delivery,4
Alicia Soler Cantón,Drug delivery,3
Claudia Fuchs,Drug delivery,3
Communication and Project Management Group,Ethics and ELSI,1
Annika Jensen,Medicinal chemistry,9
Martin de Kort,Medicinal chemistry,9
Johanna Huchting,Medicinal chemistry,9
Yojana Gadiya,Medicinal chemistry,9
Jordi Quintana,Medicinal chemistry,9
Andrea Beccari,Medicinal chemistry,9
Ziaurrehman Tanoli,Medicinal chemistry,9
Davide Graziani,Medicinal chemistry,9
Drug Discovery Group,Medicinal chemistry,10
Flavio Ballante,Medicinal chemistry,9
Andrea Zaliani,Medicinal chemistry,9
Drug Discovery Group,Natural products,3
Andrea Beccari,Natural products,2
Philip Gribbon,Natural products,2
Andrea Zaliani,Natural products,2
Andrea Zaliani,Absorption distribution metabolism elimination (ADME),5
Davide Graziani,Absorption distribution metabolism elimination (ADME),5
Martin de Kort,Absorption distribution metabolism elimination (ADME),5
Aimo Kannt,Absorption distribution metabolism elimination (ADME),5
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),6
Simon Žakelj,Absorption distribution metabolism elimination (ADME),5
Maddalena Fratelli,Absorption distribution metabolism elimination (ADME),5
Andrea Zaliani,Clinical statistics,3
Drug Development Group,Clinical statistics,4
Martin Hofmann-Apitius,Clinical statistics,3
Heleen van der Meer,Clinical statistics,3
Ziaurrehman Tanoli,Clinical statistics,3
Drug Discovery Group,Target validation,9
Jordi Carreras-Puigvert,Target validation,8
Claudia Fuchs,Target validation,8
Philip Gribbon,Target validation,8
Andrea Zaliani,Target validation,8
Martin de Kort,Target validation,8
Carmine Talarico,Target validation,8
Annika Jensen,Target validation,8
Alessandra Leone,Target validation,8
Aimo Kannt,Target validation,8
Marcell Csanádi,Evidence synthesis,5
András Inotai,Evidence synthesis,5
Zoltán Kaló,Evidence synthesis,5
Dalma Hosszú,Evidence synthesis,5
Drug Development Group,Evidence synthesis,6
Zsuzsanna Petykó,Evidence synthesis,5
Heleen van der Meer,Evidence synthesis,5
Drug Discovery Group,High-throughput screening (HTS),18
Andrea Zaliani,High-throughput screening (HTS),17
Jordi Carreras-Puigvert,High-throughput screening (HTS),17
Jani Saarela,High-throughput screening (HTS),17
Markus Vähä-Koskela,High-throughput screening (HTS),17
Philip Gribbon,High-throughput screening (HTS),17
Marianna Tampere,High-throughput screening (HTS),17
Jeanette Reinshagen,High-throughput screening (HTS),17
Tero Aittokallio,High-throughput screening (HTS),17
Swapnil Potdar,High-throughput screening (HTS),17
Päivi Östling,High-throughput screening (HTS),17
Francesca Bruzzese,High-throughput screening (HTS),17
Aimo Kannt,High-throughput screening (HTS),17
Marc Jacobs,High-throughput screening (HTS),17
Johanna Huchting,High-throughput screening (HTS),17
Davide Graziani,High-throughput screening (HTS),17
Alessandra Leone,High-throughput screening (HTS),17
Brinton Seashore-Ludlow,High-throughput screening (HTS),17
Annika Jensen,High-throughput screening (HTS),17
Drug Discovery Group,Drug Formulation,3
Martin de Kort,Drug Formulation,2
Alicia Soler Cantón,Drug Formulation,2
Rok Dreu,Drug Formulation,2
Drug Development Group,Phase 3 trials,7
Alessandra Leone,Phase 3 trials,6
Andrea Beccari,Phase 3 trials,6
Saco de Visser,Phase 3 trials,6
Keiko Ueda,Phase 3 trials,6
Carmine Talarico,Phase 3 trials,6
Zoltán Kaló,Phase 3 trials,6
Heleen van der Meer,Phase 3 trials,6
Martin de Kort,Investigational new drug (IND) submission,5
Drug Development Group,Investigational new drug (IND) submission,6
Rok Dreu,Investigational new drug (IND) submission,5
Carmine Talarico,Investigational new drug (IND) submission,5
Andrea Beccari,Investigational new drug (IND) submission,5
Keiko Ueda,Investigational new drug (IND) submission,5
Alicia Soler Cantón,Investigational new drug (IND) submission,5
Drug Development Group,Patient related documentation creation,3
Alicia Soler Cantón,Patient related documentation creation,2
Claudia Fuchs,Patient related documentation creation,2
Pan Pantziarka,Patient related documentation creation,2
Marcell Csanádi,Health Economics,4
Zsuzsanna Petykó,Health Economics,4
András Inotai,Health Economics,4
Dalma Hosszú,Health Economics,4
Drug Development Group,Health Economics,5
Zoltán Kaló,Health Economics,4
Maddalena Fratelli,Biological discovery,9
Markus Vähä-Koskela,Biological discovery,9
Katja Herzog,Biological discovery,9
Martin Hofmann-Apitius,Biological discovery,9
Aimo Kannt,Biological discovery,9
Francesca Bruzzese,Biological discovery,9
Brinton Seashore-Ludlow,Biological discovery,9
Yojana Gadiya,Biological discovery,9
Drug Discovery Group,Biological discovery,10
Claudia Fuchs,Biological discovery,9
Alicia Soler Cantón,Biological discovery,9
Drug Development Group,Clinical study report (CSR) creation,1
Alessandra Leone,Phase 1 trials,6
Martin de Kort,Phase 1 trials,6
Andrea Beccari,Phase 1 trials,6
Keiko Ueda,Phase 1 trials,6
Drug Development Group,Phase 1 trials,7
Saco de Visser,Phase 1 trials,6
Claudia Fuchs,Phase 1 trials,6
Carmine Talarico,Phase 1 trials,6
Sarai Rodríguez Navarro,Medical writing,6
Zoltán Kaló,Medical writing,6
Heleen van der Meer,Medical writing,6
Zsuzsanna Petykó,Medical writing,6
Keiko Ueda,Medical writing,6
Claudia Fuchs,Medical writing,6
Drug Development Group,Medical writing,7
Pan Pantziarka,Medical writing,6
