Name,info,Partner
shape fingerprint search,Philip Gribbon,Fraunhofer-Gesellschaft
simulated annealing,Philip Gribbon,Fraunhofer-Gesellschaft
structure activity relationship analysis,Philip Gribbon,Fraunhofer-Gesellschaft
structure alignment,Philip Gribbon,Fraunhofer-Gesellschaft
structure based virtual screening,Philip Gribbon,Fraunhofer-Gesellschaft
structure database search,Philip Gribbon,Fraunhofer-Gesellschaft
structure similarity search,Philip Gribbon,Fraunhofer-Gesellschaft
substructure search,Philip Gribbon,Fraunhofer-Gesellschaft
SwissModel homology modeling,Philip Gribbon,Fraunhofer-Gesellschaft
systematic conformational search,Philip Gribbon,Fraunhofer-Gesellschaft
three dimensional QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
topomer search,Philip Gribbon,Fraunhofer-Gesellschaft
two dimensional QSAR,Philip Gribbon,Fraunhofer-Gesellschaft
virtual screening,Philip Gribbon,Fraunhofer-Gesellschaft
automatic pathway analysis,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
cheminformatics method,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
computational analysis of gene expression,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
Cytoscape network analysis,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
decision tree,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
genetic algorithm search,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
integrated pathway analysis,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
k means clustering,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
pathway analysis,Ziaurrehman Tanoli,University of Helsinki (FIMM-UH)
automatic pathway analysis,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
cheminformatics method,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
computational analysis of gene expression,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
Cytoscape network analysis,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
decision tree,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
genetic algorithm search,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
integrated pathway analysis,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
k means clustering,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
pathway analysis,Markus Vähä-Koskela,University of Helsinki (FIMM-UH)
cheminformatics method,Jordi Carreras-Puigvert,Uppsala Universitet
computational structure analysis,Jordi Carreras-Puigvert,Uppsala Universitet
database filtering,Jordi Carreras-Puigvert,Uppsala Universitet
experimental design method,Jordi Carreras-Puigvert,Uppsala Universitet
k means clustering,Jordi Carreras-Puigvert,Uppsala Universitet
linear QSAR,Jordi Carreras-Puigvert,Uppsala Universitet
Lipinski rule of 5 filtering,Jordi Carreras-Puigvert,Uppsala Universitet
multiple sequence alignment,Jordi Carreras-Puigvert,Uppsala Universitet
pairwise sequence alignment,Jordi Carreras-Puigvert,Uppsala Universitet
partial least squares QSAR,Jordi Carreras-Puigvert,Uppsala Universitet
pathway analysis,Jordi Carreras-Puigvert,Uppsala Universitet
principal component analysis,Jordi Carreras-Puigvert,Uppsala Universitet
sequence alignment by method,Jordi Carreras-Puigvert,Uppsala Universitet
two dimensional QSAR,Jordi Carreras-Puigvert,Uppsala Universitet
2D structure prediction,Andrea Zaliani,Fraunhofer-Gesellschaft
2D structure similarity search,Andrea Zaliani,Fraunhofer-Gesellschaft
3D structure prediction,Andrea Zaliani,Fraunhofer-Gesellschaft
3D structure similarity search,Andrea Zaliani,Fraunhofer-Gesellschaft
AutoDock docking method,Andrea Zaliani,Fraunhofer-Gesellschaft
cartesian conformational search,Andrea Zaliani,Fraunhofer-Gesellschaft
cheminformatics method,Andrea Zaliani,Fraunhofer-Gesellschaft
circular fingerprint search,Andrea Zaliani,Fraunhofer-Gesellschaft
Clustal sequence alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
ClustalW sequence alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
ClustalX sequence alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
computational phylogenetic analysis,Andrea Zaliani,Fraunhofer-Gesellschaft
computational structure analysis,Andrea Zaliani,Fraunhofer-Gesellschaft
computer simulation method,Andrea Zaliani,Fraunhofer-Gesellschaft
computer simulation method by force field,Andrea Zaliani,Fraunhofer-Gesellschaft
conformational search,Andrea Zaliani,Fraunhofer-Gesellschaft
conjugate gradient method,Andrea Zaliani,Fraunhofer-Gesellschaft
constraint molecular dynamics simulation,Andrea Zaliani,Fraunhofer-Gesellschaft
Cytoscape network analysis,Andrea Zaliani,Fraunhofer-Gesellschaft
data based structure generation,Andrea Zaliani,Fraunhofer-Gesellschaft
database filtering,Andrea Zaliani,Fraunhofer-Gesellschaft
de novo structure design,Andrea Zaliani,Fraunhofer-Gesellschaft
decision tree,Andrea Zaliani,Fraunhofer-Gesellschaft
descriptor matching method,Andrea Zaliani,Fraunhofer-Gesellschaft
dihedral conformational search,Andrea Zaliani,Fraunhofer-Gesellschaft
distance comparison modeling,Andrea Zaliani,Fraunhofer-Gesellschaft
distance matrix alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
DrugScore scoring function,Andrea Zaliani,Fraunhofer-Gesellschaft
energy minimization method,Andrea Zaliani,Fraunhofer-Gesellschaft
exact match structure search,Andrea Zaliani,Fraunhofer-Gesellschaft
experimental design method,Andrea Zaliani,Fraunhofer-Gesellschaft
FASTA local sequence alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
force field based scoring function,Andrea Zaliani,Fraunhofer-Gesellschaft
fractional factorial design,Andrea Zaliani,Fraunhofer-Gesellschaft
fragment based structure generation,Andrea Zaliani,Fraunhofer-Gesellschaft
full factorial design,Andrea Zaliani,Fraunhofer-Gesellschaft
global minimum search,Andrea Zaliani,Fraunhofer-Gesellschaft
GOLD docking method,Andrea Zaliani,Fraunhofer-Gesellschaft
GOLD scoring function,Andrea Zaliani,Fraunhofer-Gesellschaft
Hartree-Fock method,Andrea Zaliani,Fraunhofer-Gesellschaft
hierarchial clustering,Andrea Zaliani,Fraunhofer-Gesellschaft
homology modeling,Andrea Zaliani,Fraunhofer-Gesellschaft
k means clustering,Andrea Zaliani,Fraunhofer-Gesellschaft
ligand based pharmacophore model,Andrea Zaliani,Fraunhofer-Gesellschaft
ligand based virtual screening,Andrea Zaliani,Fraunhofer-Gesellschaft
linear QSAR,Andrea Zaliani,Fraunhofer-Gesellschaft
Lipinski rule of 5 filtering,Andrea Zaliani,Fraunhofer-Gesellschaft
local minimum search,Andrea Zaliani,Fraunhofer-Gesellschaft
local sequence alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
MMFF force field simulation,Andrea Zaliani,Fraunhofer-Gesellschaft
MODELLER homology modeling,Andrea Zaliani,Fraunhofer-Gesellschaft
molecular docking,Andrea Zaliani,Fraunhofer-Gesellschaft
molecular docking by method,Andrea Zaliani,Fraunhofer-Gesellschaft
molecular docking by scoring function,Andrea Zaliani,Fraunhofer-Gesellschaft
molecular dynamics simulation,Andrea Zaliani,Fraunhofer-Gesellschaft
multiple sequence alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
natural language processing,Andrea Zaliani,Fraunhofer-Gesellschaft
network analysis,Andrea Zaliani,Fraunhofer-Gesellschaft
neural network model,Andrea Zaliani,Fraunhofer-Gesellschaft
neural network QSAR,Andrea Zaliani,Fraunhofer-Gesellschaft
Newton-Raphson method,Andrea Zaliani,Fraunhofer-Gesellschaft
non-linear QSAR,Andrea Zaliani,Fraunhofer-Gesellschaft
pairwise sequence alignment,Andrea Zaliani,Fraunhofer-Gesellschaft
parameterized model number 3,Andrea Zaliani,Fraunhofer-Gesellschaft
partial least squares QSAR,Andrea Zaliani,Fraunhofer-Gesellschaft
post Hartree-Fock method,Andrea Zaliani,Fraunhofer-Gesellschaft
principal component analysis,Andrea Zaliani,Fraunhofer-Gesellschaft
protein-protein docking,Andrea Zaliani,Fraunhofer-Gesellschaft
quantitative structure activity relationship analysis,Andrea Zaliani,Fraunhofer-Gesellschaft
random conformational search,Andrea Zaliani,Fraunhofer-Gesellschaft
randomized block design,Andrea Zaliani,Fraunhofer-Gesellschaft
RAPTOR protein threading,Andrea Zaliani,Fraunhofer-Gesellschaft
receptor based pharmacophore search,Andrea Zaliani,Fraunhofer-Gesellschaft
recursive partitioning QSAR,Andrea Zaliani,Fraunhofer-Gesellschaft
regression QSAR,Andrea Zaliani,Fraunhofer-Gesellschaft
restricted open-shell Hartree-Fock,Andrea Zaliani,Fraunhofer-Gesellschaft
scaffold hopping,Andrea Zaliani,Fraunhofer-Gesellschaft
secondary structure analysis method,Andrea Zaliani,Fraunhofer-Gesellschaft
self organizing molecular field analysis,Andrea Zaliani,Fraunhofer-Gesellschaft
