Services	Definition	Source	Source link
Monitoring Plan Development	"Monitoring is the act of overseeing the progress of a clinical trial, and of ensuring that it is conducted, recorded, and reported in accordance with the protocol, Standard Operating Procedures (SOPs), Good Clinical Practice (GCPs), and the applicable regulatory requirement(s)."	King's Health Partners Clinical Trials Office	https://khpcto.co.uk/SOPs/03_MonitoringSOP.php
National and/or Multi-national clinical trial coordination	A clinical trial taking place in more than one country	REMEDi4ALL	
Networking with funders and/or support in developing Funding Proposals		Clinical Trials Toolkit	https://www.ct-toolkit.ac.uk/routemap/funding-proposal/
Networking with Investigators	"The investigator is responsible for the conduct of a clinical trial at a trial site. If a trial is conducted by a team of individuals at a trial site, the investigator is the leader responsible for the team and may be called the principal investigator. This expertise invovles networking with stakeholder investigators throughtout the study."	REMEDi4ALL	
Networking with Patient Engagement Initiatives	"Patient engagement describes the process of actively involving patients in their own healthcare. This includes sharing decision-making, self-management, and partnering with healthcare providers."	HRS	https://www.healthrecoverysolutions.com/resources/eguide/patient-engagement-guide
Orphan Drug Designation	A status assigned to a medicine intended for use against a rare condition. The medicine must fulfil certain criteria for designation as an orphan medicine so that it can benefit from incentives such as protection from competition once on the market.	NCI	https://www.cancer.gov/publications/dictionaries/cancer-terms/def/orphan-drug-designation
Peer Review Protocol evaluation	"Protocol is a document that describes the objective(s), design, methodology, statistical considerations and organisation of a trial. The term protocol refers to the protocol, successive versions of the protocol and protocol amendments. The clinical trial protocol peer-review process is where many experts examine the proposed trial to consider aspects such as study design, trial procedures, subject eligibility, feasibility, acceptability, and study endpoints."	Publication	https://doi.org/10.56012/fbfu9448
Placebo development	"A placebo is a control substance (a dummy treatment) that is given to people taking part in a clinical trial. It allows researchers to test for the ""placebo effect"". This is a psychological response where people feel better even though the substance they are taking has no effect. By comparing people's responses to the placebo and to the drug being tested, researchers can tell whether the drug is having any real benefit."	WikiData	https://www.wikidata.org/wiki/Q7200267
Protocol Development	"A protocol is a document that describes the objective(s), design, methodology, statistical considerations and organisation of a trial. The term protocol refers to the protocol, successive versions of the protocol and protocol amendments."	ISN	"https://www.theisn.org/in-action/research/clinical-trials-isn-act/isn-act-toolkit/study-stage-1-design-and-development/protocol-development/#:~:text=A%20protocol%20is%20the%20core,the%20plan%20of%20the%20trial."
Safety data management and reporting	"Safety data management refers to the process of collecting, documenting, and reporting adverse events (AEs) and serious adverse events (SAEs) that occur during a clinical trial."	ClinSkill	https://www.clinskill.com/docs/safety-data-management/
Site Feasibility studies	"Site feasibility is the process of evaluating the possibility of conducting a clinical trial or study, at a particular site. The process aims at ensuring that the proposed clinical site can conduct the trial, within the budget and the timeline, whilst maintaining data integrity and participant safety. "	Clinical Trials Toolkit	https://cdsatoolkit.thsti.in/?page_id=399
Sponsorship/Co-Sponsorship Agreements	"A clinical study sponsor refers to an individual, company, institution, or organization that takes responsibility for the initiation, management, and/or financing of a clinical study or trial. The sponsor does not actually conduct the investigation unless the sponsor is a sponsor-investigator."	REMEDi4ALL	
Support for Regulatory Submissions	Regulatory submissions refers to submission of clinical trial documents to national competent authorities and Ethics committees to seek clinical trial approval	REMEDi4ALL	
Support for Scientific Advice	The provision of advice by the European Medicines Agency on the appropriate tests and studies required in the development of a medicine or on the quality of a medicine.	European Medicines Agency (EMA)	 https://www.ema.europa.eu/en/human-regulatory-overview/research-development/scientific-advice-protocol-assistance 
Support in Health Technology assesment (HTA)	"Health technology assessment (HTA) refers to the the systematic evaluation of properties, effects, and/or impacts of health technology. It is a multidisciplinary process to evaluate the social, economic, organizational and ethical issues of a health intervention or health technology.The main purpose of conducting an assessment is to inform a policy decision making."	WHO	https://www.who.int/health-topics/health-technology-assessment
Support in Investigator Selection	"The investigator is responsible for the conduct of a clinical trial at a trial site. If a trial is conducted by a team of individuals at a trial site, the investigator is the leader responsible for the team and may be called the principal investigator. Site and investigator selection has traditionally been the result of a comprehensive process by which a study sponsor and/or designated representative, often a contract research organization (CRO), evaluates prospective investigative teams and associated clinical sites for clinical trial participation."	Publication	https://doi.org/10.1007/978-3-319-52636-2_35
Trial Database set up		Publication	https://doi.org/10.21037/2Fjtd.2018.09.138
