SkillGroup,Skill,Curie,description,url
Communication and Project Management Group,Ethics and ELSI,NCIT:C142541,"An independent group that comprises medical, scientific, and non-scientific members, and is tasked with the continuing review and approval of a clinical trial's protocol, methods, and informed consent process to ensure the protection of the rights, safety, and wellbeing of participants",http://purl.obolibrary.org/obo/NCIT_C142541
Communication and Project Management Group,Project management,CREDIT:00000007,Management and coordination responsibility for the research activity planning and execution.,http://purl.org/credit/ontology#CREDIT_00000007
Drug Discovery Group,Biological discovery,NCIT:C84341,The collection and/or analysis of data with the objective of identifying patterns or correlations that may lead to hypothesis formation.,http://purl.obolibrary.org/obo/NCIT_C84341
Drug Discovery Group,In-vivo efficacy evaluation,BAO:0010011,"An in vivo efficacy assay is a study perfromed in a whole, living organism (usually an animal such as a mouse or rat) to test the effects of a treatment on a specific disease modeled in this animal.",http://www.bioassayontology.org/bao#BAO_0010011
Drug Discovery Group,In-vivo toxicity testing,NCIT:C17755,Controlled laboratory tests to determine the toxicity of a chemical to an organism in terms of specific chemical concentrations.,http://purl.obolibrary.org/obo/NCIT_C17755
Drug Discovery Group,Target identification,SKILLS:018,"Target identification is typically the starting point of the modern drug discovery process. Candidate targets may be selected based on a variety of experimental criteria. These criteria may include disease linkage (mutations in the protein are known to cause a disease), mechanistic rationale (for example, the protein is part of a regulatory pathway that is involved in the disease process), or genetic screens in model organisms",https://en.wikipedia.org/wiki/Druggability
Drug Discovery Group,Mechanism of action (MoA),SKILLS:024,"The specific biochemical interaction through which an antimicrobial produces its pharmacological effect. For antibiotics, the most common mechanisms of action are: Inhibition of cell wall synthesis Inhibition of protein synthesis Disruption of cell membranes Inhibition of DNA replication or transcription Inhibition of bacterial metabolism For compounds identified in phenotypic screens, mechanisms of action may not be immediately obvious. Further studies are required to understand how they achieve their antibacterial effects. Determining mechanism of action is important because it suggests what modifications could be made to a compound to improve its activity and specificity. In addition, antibiotics used as combinations should ideally have different mechanisms of actions, to make it harder for bacteria to develop resistance to treatment.",https://revive.gardp.org/resource/mechanism-of-action-moa/
Drug Discovery Group,Pharmacodynamics (PD),SKILLS:030,"Study of the uptake, movement, binding and interactions of drugs in the body and how they affect drug activity. Drug activity depends on engagement between a drug and its molecular target. Any factor affecting drug concentration at its target site, strength of binding or duration of binding will affect that drug's pharmacological activity and clinical responses. Broadly speaking, pharmacodynamics considers the properties of a drug that affect target engagement in the body, while pharmacokinetics considers the effect of the body on a drug.",https://revive.gardp.org/resource/pharmacodynamics-pd/
Drug Discovery Group,Pharmacokinetics (PK),SKILLS:029,"Study of the body's handling and metabolism of drugs in the body, including their absorption, distribution between different tissues, localization within tissues, modification and excretion (ADME). Drug activity depends on engagement between a drug and its molecular target. If the body does not absorb a drug, modifies it chemically, or rapidly excretes it, the drug will be less able to bind to its target site and have a biological effect. Broadly speaking, pharmacokinetics considers the effect of the body on a drug, while pharmacodynamics considers the properties of a drug that affect target engagement in the body. Population PK modelling takes account of variation in how drugs are metabolized by different people within a population. This requires more sophisticated statistical methodologies but provides results more relevant to individuals. Physiologically-based pharmacokinetic models are more closely based on human anatomy, physiology and biochemistry. They are complex multi-component models that more accurately reflect human biology but are also more challenging to develop.",https://revive.gardp.org/resource/pharmacokinetics-pk/
Drug Discovery Group,Natural products,SKILLS:025,"Natural products are small molecules produced by living organisms including plants, invertebrates and microorganisms. They are also known as secondary metabolites being non-essential for life, but they play key roles in defence and cell to cell communication. They represent a unique chemical space with compounds distributed in a broad diversity of chemical classes. They have been evolving with nature together with the activities that have been optimized together with the targets. Pharmaceutical companies have been using natural products for decades as one of the major sources for discovery of novel bio-active compounds and today more than 50% of the molecules in development are still natural products, semi-synthetic derivatives or have been inspired in these scaffolds. Today, natural products are still an untapped reservoir with more than 90% of the microbial sources still underexplored and with biosynthetic potential that by far exceeds the initial estimations. This is why natural products still represent one of the major sources of chemical diversity and one of the starting points for the discovery of novel antibiotics.",https://revive.gardp.org/resource/natural-products/
Drug Discovery Group,Absorption distribution metabolism elimination (ADME),SKILLS:027,"The key factors affecting the concentration and distribution of a drug within the body and the time it spends in the body. Drug activity depends on engagement between a drug and its molecular target. How a drug is absorbed, distributed across different tissues (or compartments), metabolized and eliminated (e.g. excreted) will all affect its ability to access its target site and have a biological effect. ADME are the core elements of pharmacokinetics.",https://revive.gardp.org/resource/absorption-distribution-metabolism-elimination-adme/
Drug Discovery Group,Drug Formulation,NCIT:C15653,"The act or process of developing or preparing a mixture of ingredients to create a desired end drug product, such as a specific flavor, aroma, or polymer; or the desired final drug product itself; also, a listing of the ingredients and composition of the dosage form.",http://purl.obolibrary.org/obo/NCIT_C15653
Drug Discovery Group,In-vitro toxicity testing - Ames,SKILLS:028,"A method for evaluating the mutagenic effects of a compound or drug, used as part of toxicity testing. The test chemical is applied to a bacterial strain that has a mutation which renders it dependent on histidine for growth, along with a rat liver extract (to explore the potential for enzymatic processing of the chemical into a mutagenic form). After culture, the number of colonies that can grow in the absence of histidine, due to reversion of the mutation, provides a measure of the mutagenic potential of the chemical. There is a reasonable degree of correlation between mutagenicity as judged by the Ames essay and carcinogenicity in animal models. However, it is a screening tool with limited predictability when used without other assays.",https://revive.gardp.org/resource/ames-test/
Drug Discovery Group,Drug combinations,MESH:D000077728,"Single preparations containing two or more active agents, for the purpose of their concurrent administration as a fixed dose mixture.",http://id.nlm.nih.gov/mesh/D000077728
Drug Discovery Group,Target validation,SKILLS:019,Confirmation that activity on a target structure or enzymatic activity is likely to be clinically useful. ,https://revive.gardp.org/resource/target-validation/
Drug Discovery Group,In-vivo modelling,SKILLS:031,The goal of In Vivo Modeling is to apply next-generation genome manipulation technologies and targeted phenotyping strategies to generate reliable mouse models in support of biomedical research and precision medicine.,https://health.ucdavis.edu/surgery/invivo.html
Drug Discovery Group,Drug delivery,NCIT:C17423,"Modern technology, distributed with or as a part of a drug product that allows for the uniform release or targeting of drugs to the body.",http://purl.obolibrary.org/obo/NCIT_C17423
Drug Discovery Group,Medicinal chemistry,SKILLS:022,"The design, synthesis and modification of biologically active molecules. Medicinal chemistry plays a critical role in converting a newly discovered molecule with antibacterial activity (a hit) into a safe and effective candidate. Key steps include modifying the molecule to explore the relationship between chemical structure and antibacterial activity (structure-activity relationship, SAR) and adapting the molecule to improve its efficacy and drug-like properties (lead optimization).",https://revive.gardp.org/resource/medicinal-chemistry/
Drug Discovery Group,Pro-drugs,SKILLS:026,"A drug that is administered in an inactive form and is metabolized in the body into a pharmacologically active agent. A pro-drug may be developed if a biologically active compound has poor pharmacokinetic properties, for example if it is not absorbed well or rapidly excreted.",https://revive.gardp.org/resource/pro-drug/
Drug Discovery Group,Hit confirmation | hit validation,SKILLS:021,"Evaluation of a compound discovered to have desired properties (a hit), by confirming its ability to inhibit bacterial growth, assessing its binding to molecular targets of interest, and determining its chemical structure. Hit validation is essential for eliminating false-positives from high-throughput screens, demonstrating that a compound has the potential to be an effective treatment, with no obvious chemical features that would make it difficult to develop into a drug.",https://revive.gardp.org/resource/hit-confirmation-hit-validation/
Drug Discovery Group,High-throughput screening (HTS),SKILLS:020,The process by which large numbers of natural product extracts or chemicals (compound libraries) are tested for activity using automated and/or robotic equipment. ,https://revive.gardp.org/resource/high-throughput-screen-hts/
Drug Discovery Group,Hit-to-lead (HTL) | lead generation,SKILLS:023,"A stage of drug discovery during which a compound demonstrated to have desired properties (a hit) is iteratively modified to improve its efficacy and other properties. Typically, multiple chemical variants of a hit compound are synthesized (hit expansion). Studies of these compounds help to identify key structural features of the compound associated with binding to molecular targets and efficacy (structure-activity relationships). Chemical modifications are also introduced to improve its drug-like properties, such as stability, membrane permeability, cytotoxicity and specificity. This stage ends with one or more optimized lead compounds that are extensively evaluated for efficacy and safety in biochemical and cellular assays and in animal studies.",https://revive.gardp.org/resource/hit-to-lead-htl-lead-generation/
