Name,info,Partner
cytokine secretion assay,Yojana Gadiya,Fraunhofer-Gesellschaft
direct enzyme activity measurement method,Yojana Gadiya,Fraunhofer-Gesellschaft
drug absorption assay,Yojana Gadiya,Fraunhofer-Gesellschaft
drug excretion assay,Yojana Gadiya,Fraunhofer-Gesellschaft
drug metabolism assay,Yojana Gadiya,Fraunhofer-Gesellschaft
ELISA,Yojana Gadiya,Fraunhofer-Gesellschaft
ELISA protein state assay,Yojana Gadiya,Fraunhofer-Gesellschaft
endpoint assay,Yojana Gadiya,Fraunhofer-Gesellschaft
enzymatic stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
enzyme activity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
enzyme fragment complementation,Yojana Gadiya,Fraunhofer-Gesellschaft
enzyme induction assay,Yojana Gadiya,Fraunhofer-Gesellschaft
enzyme inhibition assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Fluorescence imaging apoptosis assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Fluorescence imaging cell count assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Fluorescence imaging cell cycle state assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Fluorescence imaging cell growth inhibition assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Fluorescence imaging morphology assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Fluorescence imaging multiplex cytological profiling assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Fluorescence imaging protein state assay,Yojana Gadiya,Fraunhofer-Gesellschaft
fluorescence microscopy,Yojana Gadiya,Fraunhofer-Gesellschaft
fluorescent protein reporter gene assay,Yojana Gadiya,Fraunhofer-Gesellschaft
functional,Yojana Gadiya,Fraunhofer-Gesellschaft
functional phenotypic,Yojana Gadiya,Fraunhofer-Gesellschaft
"functional target-based_x000D_
",Yojana Gadiya,Fraunhofer-Gesellschaft
gastric fluid stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
gene knock in,Yojana Gadiya,Fraunhofer-Gesellschaft
gene knockdown,Yojana Gadiya,Fraunhofer-Gesellschaft
genotoxicity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
high throughput screening,Yojana Gadiya,Fraunhofer-Gesellschaft
homogeneous time resolved fluorescence,Yojana Gadiya,Fraunhofer-Gesellschaft
HPLC System,Yojana Gadiya,Fraunhofer-Gesellschaft
hybrid screening,Yojana Gadiya,Fraunhofer-Gesellschaft
immunoassay,Yojana Gadiya,Fraunhofer-Gesellschaft
immunocytochemistry,Yojana Gadiya,Fraunhofer-Gesellschaft
immunofluorescent labeling,Yojana Gadiya,Fraunhofer-Gesellschaft
immunohistochemistry,Yojana Gadiya,Fraunhofer-Gesellschaft
in situ immunoassay,Yojana Gadiya,Fraunhofer-Gesellschaft
in vivo efficacy assay,Yojana Gadiya,Fraunhofer-Gesellschaft
in vivo PK/PD assay,Yojana Gadiya,Fraunhofer-Gesellschaft
interstitial fluid stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
intestinal fluid stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
ion channel assay,Yojana Gadiya,Fraunhofer-Gesellschaft
kinase activity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
kinetic assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Liquid Chromatography/Mass Spectroscopy (LC/MS) protein quantification,Yojana Gadiya,Fraunhofer-Gesellschaft
localization assay,Yojana Gadiya,Fraunhofer-Gesellschaft
low throughput screening,Yojana Gadiya,Fraunhofer-Gesellschaft
luciferase enzyme activity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
luciferase reporter gene assay,Yojana Gadiya,Fraunhofer-Gesellschaft
medium throughput screening,Yojana Gadiya,Fraunhofer-Gesellschaft
membrane permeability assessment,Yojana Gadiya,Fraunhofer-Gesellschaft
metabolic stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
metabolomic assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Migration Assay,Yojana Gadiya,Fraunhofer-Gesellschaft
mitochondrial membrane potential assay,Yojana Gadiya,Fraunhofer-Gesellschaft
mitosis/apoptosis assay,Yojana Gadiya,Fraunhofer-Gesellschaft
mitotic cell cycle state assay,Yojana Gadiya,Fraunhofer-Gesellschaft
neurite outgrowth assay,Yojana Gadiya,Fraunhofer-Gesellschaft
optical microscopy,Yojana Gadiya,Fraunhofer-Gesellschaft
other pharmacokinetic studies,Yojana Gadiya,Fraunhofer-Gesellschaft
oxidative stress assay,Yojana Gadiya,Fraunhofer-Gesellschaft
PD biomarker assay,Yojana Gadiya,Fraunhofer-Gesellschaft
permeability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
pH stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
pharmacodynamic assay,Yojana Gadiya,Fraunhofer-Gesellschaft
pharmacokinetic assay,Yojana Gadiya,Fraunhofer-Gesellschaft
Pharmacology: Primary Pharmacodynamics,Yojana Gadiya,Fraunhofer-Gesellschaft
phosphatase activity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
phosphorylation assay,Yojana Gadiya,Fraunhofer-Gesellschaft
plasma stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
preclinical development stage,Yojana Gadiya,Fraunhofer-Gesellschaft
primary assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protease activity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protein expression assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protein folding assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protein stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protein unfolding assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protein-protein interaction assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protein-small molecule interaction assay,Yojana Gadiya,Fraunhofer-Gesellschaft
protein-turnover assay,Yojana Gadiya,Fraunhofer-Gesellschaft
quantitative PCR,Yojana Gadiya,Fraunhofer-Gesellschaft
quantitative reverse transcription PCR,Yojana Gadiya,Fraunhofer-Gesellschaft
real-time PCR ,Yojana Gadiya,Fraunhofer-Gesellschaft
receptor induction assay,Yojana Gadiya,Fraunhofer-Gesellschaft
receptor internalization assay,Yojana Gadiya,Fraunhofer-Gesellschaft
redistribution assay,Yojana Gadiya,Fraunhofer-Gesellschaft
reporter gene assay,Yojana Gadiya,Fraunhofer-Gesellschaft
reverse transcription PCR,Yojana Gadiya,Fraunhofer-Gesellschaft
safety pharmacology assay,Yojana Gadiya,Fraunhofer-Gesellschaft
sandwich ELISA,Yojana Gadiya,Fraunhofer-Gesellschaft
second messenger assay,Yojana Gadiya,Fraunhofer-Gesellschaft
secondary assay,Yojana Gadiya,Fraunhofer-Gesellschaft
selectivity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
signal transduction assay,Yojana Gadiya,Fraunhofer-Gesellschaft
signaling pathway assay,Yojana Gadiya,Fraunhofer-Gesellschaft
solubility assay,Yojana Gadiya,Fraunhofer-Gesellschaft
surface plasmon resonance,Yojana Gadiya,Fraunhofer-Gesellschaft
targeted metabolomic assay,Yojana Gadiya,Fraunhofer-Gesellschaft
thermal shift assay,Yojana Gadiya,Fraunhofer-Gesellschaft
thermodynamic solubility assay,Yojana Gadiya,Fraunhofer-Gesellschaft
time resolved fluorescence resonance energy transfer,Yojana Gadiya,Fraunhofer-Gesellschaft
tissue distribution assay,Yojana Gadiya,Fraunhofer-Gesellschaft
tissue homogenate stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
toxicity assay,Yojana Gadiya,Fraunhofer-Gesellschaft
whole blood stability assay,Yojana Gadiya,Fraunhofer-Gesellschaft
24 well plate,Johanna Huchting,Fraunhofer-Gesellschaft
384 well plate,Johanna Huchting,Fraunhofer-Gesellschaft
96 well plate,Johanna Huchting,Fraunhofer-Gesellschaft
ADMET,Johanna Huchting,Fraunhofer-Gesellschaft
apoptosis assay,Johanna Huchting,Fraunhofer-Gesellschaft
artifact assay,Johanna Huchting,Fraunhofer-Gesellschaft
assay format,Johanna Huchting,Fraunhofer-Gesellschaft
assay screening campaign stage,Johanna Huchting,Fraunhofer-Gesellschaft
assay screening throughput,Johanna Huchting,Fraunhofer-Gesellschaft
Bead-based immunoassay for protein state,Johanna Huchting,Fraunhofer-Gesellschaft
binding assay,Johanna Huchting,Fraunhofer-Gesellschaft
bioassay,Johanna Huchting,Fraunhofer-Gesellschaft
bioassay specification,Johanna Huchting,Fraunhofer-Gesellschaft
bioassay type,Johanna Huchting,Fraunhofer-Gesellschaft
bioavailability assay,Johanna Huchting,Fraunhofer-Gesellschaft
biochemical format,Johanna Huchting,Fraunhofer-Gesellschaft
brightfield microscopy,Johanna Huchting,Fraunhofer-Gesellschaft
Caco-2 permeability assay,Johanna Huchting,Fraunhofer-Gesellschaft
calcium redistribution assay,Johanna Huchting,Fraunhofer-Gesellschaft
cAMP redistribution assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell based format,Johanna Huchting,Fraunhofer-Gesellschaft
cell cycle assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell density determination,Johanna Huchting,Fraunhofer-Gesellschaft
cell growth assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell morphology assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell motility assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell permeability assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell proliferation assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell viability assay,Johanna Huchting,Fraunhofer-Gesellschaft
cell viability ATP quantitation assay,Johanna Huchting,Fraunhofer-Gesellschaft
chemical stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
chemotaxis assay,Johanna Huchting,Fraunhofer-Gesellschaft
circular dichroism,Johanna Huchting,Fraunhofer-Gesellschaft
competitive immunoassay,Johanna Huchting,Fraunhofer-Gesellschaft
compound aggregation assay,Johanna Huchting,Fraunhofer-Gesellschaft
compound fluorescence assay,Johanna Huchting,Fraunhofer-Gesellschaft
compound library,Johanna Huchting,Fraunhofer-Gesellschaft
compound redox activity assay,Johanna Huchting,Fraunhofer-Gesellschaft
compound toxicity assay,Johanna Huchting,Fraunhofer-Gesellschaft
concentration response assay,Johanna Huchting,Fraunhofer-Gesellschaft
confirmatory assay,Johanna Huchting,Fraunhofer-Gesellschaft
confocal microscopy,Johanna Huchting,Fraunhofer-Gesellschaft
counter screening assay,Johanna Huchting,Fraunhofer-Gesellschaft
cytochrome P450 enzyme activity assay,Johanna Huchting,Fraunhofer-Gesellschaft
cytokine secretion assay,Johanna Huchting,Fraunhofer-Gesellschaft
direct enzyme activity measurement method,Johanna Huchting,Fraunhofer-Gesellschaft
drug absorption assay,Johanna Huchting,Fraunhofer-Gesellschaft
drug excretion assay,Johanna Huchting,Fraunhofer-Gesellschaft
drug metabolism assay,Johanna Huchting,Fraunhofer-Gesellschaft
ELISA,Johanna Huchting,Fraunhofer-Gesellschaft
ELISA protein state assay,Johanna Huchting,Fraunhofer-Gesellschaft
endpoint assay,Johanna Huchting,Fraunhofer-Gesellschaft
enzymatic stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
enzyme activity assay,Johanna Huchting,Fraunhofer-Gesellschaft
enzyme fragment complementation,Johanna Huchting,Fraunhofer-Gesellschaft
enzyme induction assay,Johanna Huchting,Fraunhofer-Gesellschaft
enzyme inhibition assay,Johanna Huchting,Fraunhofer-Gesellschaft
Fluorescence imaging apoptosis assay,Johanna Huchting,Fraunhofer-Gesellschaft
Fluorescence imaging cell count assay,Johanna Huchting,Fraunhofer-Gesellschaft
Fluorescence imaging cell cycle state assay,Johanna Huchting,Fraunhofer-Gesellschaft
Fluorescence imaging cell growth inhibition assay,Johanna Huchting,Fraunhofer-Gesellschaft
Fluorescence imaging morphology assay,Johanna Huchting,Fraunhofer-Gesellschaft
Fluorescence imaging multiplex cytological profiling assay,Johanna Huchting,Fraunhofer-Gesellschaft
Fluorescence imaging protein state assay,Johanna Huchting,Fraunhofer-Gesellschaft
fluorescence microscopy,Johanna Huchting,Fraunhofer-Gesellschaft
fluorescent protein reporter gene assay,Johanna Huchting,Fraunhofer-Gesellschaft
functional,Johanna Huchting,Fraunhofer-Gesellschaft
functional phenotypic,Johanna Huchting,Fraunhofer-Gesellschaft
"functional target-based_x000D_
",Johanna Huchting,Fraunhofer-Gesellschaft
gastric fluid stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
gene knock in,Johanna Huchting,Fraunhofer-Gesellschaft
gene knockdown,Johanna Huchting,Fraunhofer-Gesellschaft
genotoxicity assay,Johanna Huchting,Fraunhofer-Gesellschaft
high throughput screening,Johanna Huchting,Fraunhofer-Gesellschaft
homogeneous time resolved fluorescence,Johanna Huchting,Fraunhofer-Gesellschaft
HPLC System,Johanna Huchting,Fraunhofer-Gesellschaft
hybrid screening,Johanna Huchting,Fraunhofer-Gesellschaft
immunoassay,Johanna Huchting,Fraunhofer-Gesellschaft
immunocytochemistry,Johanna Huchting,Fraunhofer-Gesellschaft
immunofluorescent labeling,Johanna Huchting,Fraunhofer-Gesellschaft
immunohistochemistry,Johanna Huchting,Fraunhofer-Gesellschaft
in situ immunoassay,Johanna Huchting,Fraunhofer-Gesellschaft
in vivo efficacy assay,Johanna Huchting,Fraunhofer-Gesellschaft
in vivo PK/PD assay,Johanna Huchting,Fraunhofer-Gesellschaft
interstitial fluid stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
intestinal fluid stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
ion channel assay,Johanna Huchting,Fraunhofer-Gesellschaft
kinase activity assay,Johanna Huchting,Fraunhofer-Gesellschaft
kinetic assay,Johanna Huchting,Fraunhofer-Gesellschaft
Liquid Chromatography/Mass Spectroscopy (LC/MS) protein quantification,Johanna Huchting,Fraunhofer-Gesellschaft
localization assay,Johanna Huchting,Fraunhofer-Gesellschaft
low throughput screening,Johanna Huchting,Fraunhofer-Gesellschaft
luciferase enzyme activity assay,Johanna Huchting,Fraunhofer-Gesellschaft
luciferase reporter gene assay,Johanna Huchting,Fraunhofer-Gesellschaft
medium throughput screening,Johanna Huchting,Fraunhofer-Gesellschaft
membrane permeability assessment,Johanna Huchting,Fraunhofer-Gesellschaft
metabolic stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
metabolomic assay,Johanna Huchting,Fraunhofer-Gesellschaft
Migration Assay,Johanna Huchting,Fraunhofer-Gesellschaft
mitochondrial membrane potential assay,Johanna Huchting,Fraunhofer-Gesellschaft
mitosis/apoptosis assay,Johanna Huchting,Fraunhofer-Gesellschaft
mitotic cell cycle state assay,Johanna Huchting,Fraunhofer-Gesellschaft
neurite outgrowth assay,Johanna Huchting,Fraunhofer-Gesellschaft
optical microscopy,Johanna Huchting,Fraunhofer-Gesellschaft
other pharmacokinetic studies,Johanna Huchting,Fraunhofer-Gesellschaft
oxidative stress assay,Johanna Huchting,Fraunhofer-Gesellschaft
PD biomarker assay,Johanna Huchting,Fraunhofer-Gesellschaft
permeability assay,Johanna Huchting,Fraunhofer-Gesellschaft
pH stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
pharmacodynamic assay,Johanna Huchting,Fraunhofer-Gesellschaft
pharmacokinetic assay,Johanna Huchting,Fraunhofer-Gesellschaft
Pharmacology: Primary Pharmacodynamics,Johanna Huchting,Fraunhofer-Gesellschaft
phosphatase activity assay,Johanna Huchting,Fraunhofer-Gesellschaft
phosphorylation assay,Johanna Huchting,Fraunhofer-Gesellschaft
plasma stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
preclinical development stage,Johanna Huchting,Fraunhofer-Gesellschaft
primary assay,Johanna Huchting,Fraunhofer-Gesellschaft
protease activity assay,Johanna Huchting,Fraunhofer-Gesellschaft
protein expression assay,Johanna Huchting,Fraunhofer-Gesellschaft
protein folding assay,Johanna Huchting,Fraunhofer-Gesellschaft
protein stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
protein unfolding assay,Johanna Huchting,Fraunhofer-Gesellschaft
protein-protein interaction assay,Johanna Huchting,Fraunhofer-Gesellschaft
protein-small molecule interaction assay,Johanna Huchting,Fraunhofer-Gesellschaft
protein-turnover assay,Johanna Huchting,Fraunhofer-Gesellschaft
quantitative PCR,Johanna Huchting,Fraunhofer-Gesellschaft
quantitative reverse transcription PCR,Johanna Huchting,Fraunhofer-Gesellschaft
real-time PCR ,Johanna Huchting,Fraunhofer-Gesellschaft
receptor induction assay,Johanna Huchting,Fraunhofer-Gesellschaft
receptor internalization assay,Johanna Huchting,Fraunhofer-Gesellschaft
redistribution assay,Johanna Huchting,Fraunhofer-Gesellschaft
reporter gene assay,Johanna Huchting,Fraunhofer-Gesellschaft
reverse transcription PCR,Johanna Huchting,Fraunhofer-Gesellschaft
safety pharmacology assay,Johanna Huchting,Fraunhofer-Gesellschaft
sandwich ELISA,Johanna Huchting,Fraunhofer-Gesellschaft
second messenger assay,Johanna Huchting,Fraunhofer-Gesellschaft
secondary assay,Johanna Huchting,Fraunhofer-Gesellschaft
selectivity assay,Johanna Huchting,Fraunhofer-Gesellschaft
signal transduction assay,Johanna Huchting,Fraunhofer-Gesellschaft
signaling pathway assay,Johanna Huchting,Fraunhofer-Gesellschaft
solubility assay,Johanna Huchting,Fraunhofer-Gesellschaft
surface plasmon resonance,Johanna Huchting,Fraunhofer-Gesellschaft
targeted metabolomic assay,Johanna Huchting,Fraunhofer-Gesellschaft
thermal shift assay,Johanna Huchting,Fraunhofer-Gesellschaft
thermodynamic solubility assay,Johanna Huchting,Fraunhofer-Gesellschaft
time resolved fluorescence resonance energy transfer,Johanna Huchting,Fraunhofer-Gesellschaft
tissue distribution assay,Johanna Huchting,Fraunhofer-Gesellschaft
tissue homogenate stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
toxicity assay,Johanna Huchting,Fraunhofer-Gesellschaft
whole blood stability assay,Johanna Huchting,Fraunhofer-Gesellschaft
24 well plate,Philip Gribbon,Fraunhofer-Gesellschaft
384 well plate,Philip Gribbon,Fraunhofer-Gesellschaft
96 well plate,Philip Gribbon,Fraunhofer-Gesellschaft
ADMET,Philip Gribbon,Fraunhofer-Gesellschaft
apoptosis assay,Philip Gribbon,Fraunhofer-Gesellschaft
artifact assay,Philip Gribbon,Fraunhofer-Gesellschaft
assay format,Philip Gribbon,Fraunhofer-Gesellschaft
assay screening campaign stage,Philip Gribbon,Fraunhofer-Gesellschaft
assay screening throughput,Philip Gribbon,Fraunhofer-Gesellschaft
Bead-based immunoassay for protein state,Philip Gribbon,Fraunhofer-Gesellschaft
binding assay,Philip Gribbon,Fraunhofer-Gesellschaft
bioassay,Philip Gribbon,Fraunhofer-Gesellschaft
bioassay specification,Philip Gribbon,Fraunhofer-Gesellschaft
bioassay type,Philip Gribbon,Fraunhofer-Gesellschaft
bioavailability assay,Philip Gribbon,Fraunhofer-Gesellschaft
biochemical format,Philip Gribbon,Fraunhofer-Gesellschaft
brightfield microscopy,Philip Gribbon,Fraunhofer-Gesellschaft
Caco-2 permeability assay,Philip Gribbon,Fraunhofer-Gesellschaft
calcium redistribution assay,Philip Gribbon,Fraunhofer-Gesellschaft
cAMP redistribution assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell based format,Philip Gribbon,Fraunhofer-Gesellschaft
cell cycle assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell density determination,Philip Gribbon,Fraunhofer-Gesellschaft
cell growth assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell morphology assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell motility assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell permeability assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell proliferation assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell viability assay,Philip Gribbon,Fraunhofer-Gesellschaft
cell viability ATP quantitation assay,Philip Gribbon,Fraunhofer-Gesellschaft
chemical stability assay,Philip Gribbon,Fraunhofer-Gesellschaft
chemotaxis assay,Philip Gribbon,Fraunhofer-Gesellschaft
circular dichroism,Philip Gribbon,Fraunhofer-Gesellschaft
competitive immunoassay,Philip Gribbon,Fraunhofer-Gesellschaft
compound aggregation assay,Philip Gribbon,Fraunhofer-Gesellschaft
compound fluorescence assay,Philip Gribbon,Fraunhofer-Gesellschaft
compound library,Philip Gribbon,Fraunhofer-Gesellschaft
compound redox activity assay,Philip Gribbon,Fraunhofer-Gesellschaft
compound toxicity assay,Philip Gribbon,Fraunhofer-Gesellschaft
concentration response assay,Philip Gribbon,Fraunhofer-Gesellschaft
confirmatory assay,Philip Gribbon,Fraunhofer-Gesellschaft
confocal microscopy,Philip Gribbon,Fraunhofer-Gesellschaft
counter screening assay,Philip Gribbon,Fraunhofer-Gesellschaft
cytochrome P450 enzyme activity assay,Philip Gribbon,Fraunhofer-Gesellschaft
cytokine secretion assay,Philip Gribbon,Fraunhofer-Gesellschaft
direct enzyme activity measurement method,Philip Gribbon,Fraunhofer-Gesellschaft
drug absorption assay,Philip Gribbon,Fraunhofer-Gesellschaft
drug excretion assay,Philip Gribbon,Fraunhofer-Gesellschaft
drug metabolism assay,Philip Gribbon,Fraunhofer-Gesellschaft
ELISA,Philip Gribbon,Fraunhofer-Gesellschaft
ELISA protein state assay,Philip Gribbon,Fraunhofer-Gesellschaft
endpoint assay,Philip Gribbon,Fraunhofer-Gesellschaft
enzymatic stability assay,Philip Gribbon,Fraunhofer-Gesellschaft
enzyme activity assay,Philip Gribbon,Fraunhofer-Gesellschaft
enzyme fragment complementation,Philip Gribbon,Fraunhofer-Gesellschaft
enzyme induction assay,Philip Gribbon,Fraunhofer-Gesellschaft
enzyme inhibition assay,Philip Gribbon,Fraunhofer-Gesellschaft
Fluorescence imaging apoptosis assay,Philip Gribbon,Fraunhofer-Gesellschaft
Fluorescence imaging cell count assay,Philip Gribbon,Fraunhofer-Gesellschaft
Fluorescence imaging cell cycle state assay,Philip Gribbon,Fraunhofer-Gesellschaft
Fluorescence imaging cell growth inhibition assay,Philip Gribbon,Fraunhofer-Gesellschaft
Fluorescence imaging morphology assay,Philip Gribbon,Fraunhofer-Gesellschaft
Fluorescence imaging multiplex cytological profiling assay,Philip Gribbon,Fraunhofer-Gesellschaft
Fluorescence imaging protein state assay,Philip Gribbon,Fraunhofer-Gesellschaft
fluorescence microscopy,Philip Gribbon,Fraunhofer-Gesellschaft
fluorescent protein reporter gene assay,Philip Gribbon,Fraunhofer-Gesellschaft
functional,Philip Gribbon,Fraunhofer-Gesellschaft
functional phenotypic,Philip Gribbon,Fraunhofer-Gesellschaft
"functional target-based_x000D_
",Philip Gribbon,Fraunhofer-Gesellschaft
gastric fluid stability assay,Philip Gribbon,Fraunhofer-Gesellschaft
gene knock in,Philip Gribbon,Fraunhofer-Gesellschaft
gene knockdown,Philip Gribbon,Fraunhofer-Gesellschaft
genotoxicity assay,Philip Gribbon,Fraunhofer-Gesellschaft
high throughput screening,Philip Gribbon,Fraunhofer-Gesellschaft
homogeneous time resolved fluorescence,Philip Gribbon,Fraunhofer-Gesellschaft
HPLC System,Philip Gribbon,Fraunhofer-Gesellschaft
hybrid screening,Philip Gribbon,Fraunhofer-Gesellschaft
immunoassay,Philip Gribbon,Fraunhofer-Gesellschaft
immunocytochemistry,Philip Gribbon,Fraunhofer-Gesellschaft
immunofluorescent labeling,Philip Gribbon,Fraunhofer-Gesellschaft
immunohistochemistry,Philip Gribbon,Fraunhofer-Gesellschaft
in situ immunoassay,Philip Gribbon,Fraunhofer-Gesellschaft
in vivo efficacy assay,Philip Gribbon,Fraunhofer-Gesellschaft
in vivo PK/PD assay,Philip Gribbon,Fraunhofer-Gesellschaft
interstitial fluid stability assay,Philip Gribbon,Fraunhofer-Gesellschaft
intestinal fluid stability assay,Philip Gribbon,Fraunhofer-Gesellschaft
ion channel assay,Philip Gribbon,Fraunhofer-Gesellschaft
kinase activity assay,Philip Gribbon,Fraunhofer-Gesellschaft
kinetic assay,Philip Gribbon,Fraunhofer-Gesellschaft
Liquid Chromatography/Mass Spectroscopy (LC/MS) protein quantification,Philip Gribbon,Fraunhofer-Gesellschaft
localization assay,Philip Gribbon,Fraunhofer-Gesellschaft
low throughput screening,Philip Gribbon,Fraunhofer-Gesellschaft
luciferase enzyme activity assay,Philip Gribbon,Fraunhofer-Gesellschaft
luciferase reporter gene assay,Philip Gribbon,Fraunhofer-Gesellschaft
medium throughput screening,Philip Gribbon,Fraunhofer-Gesellschaft
membrane permeability assessment,Philip Gribbon,Fraunhofer-Gesellschaft
metabolic stability assay,Philip Gribbon,Fraunhofer-Gesellschaft
metabolomic assay,Philip Gribbon,Fraunhofer-Gesellschaft
Migration Assay,Philip Gribbon,Fraunhofer-Gesellschaft
mitochondrial membrane potential assay,Philip Gribbon,Fraunhofer-Gesellschaft
mitosis/apoptosis assay,Philip Gribbon,Fraunhofer-Gesellschaft
